title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
"Benevento, Archivio Capitolare, V 19","I-BV V 19",,,,"12th century",Benevento,,,,,,,"http://cantus.uwaterloo.ca/source/123595",Secular,,,
"Einsiedeln, Kloster Einsiedeln - Musikbibliothek, 611","CH-E 611",,,,"14th century",Einsiedeln,,,,,,,"http://cantus.uwaterloo.ca/source/123606",Monastic,,,
"Sankt Gallen, Stiftsbibliothek, 388","CH-SGs 388",,,,"12th century","St. Gallen",,,,,,,"http://cantus.uwaterloo.ca/source/123750",,,,
"Sankt Gallen, Stiftsbibliothek, 391","CH-SGs 391",,,,"10th century","St. Gallen",,,,,,,"http://cantus.uwaterloo.ca/source/123718",Monastic,,,
"Berlin, Staatsbibliothek zu Berlin Preußischer Kulturbesitz, Mus. 40047","D-B Mus. 40047",,,,"11th century",Quedlinburg,,,,,,,"http://cantus.uwaterloo.ca/source/123688",Secular,,,
"Firenze (Florence), Arcivescovado - Biblioteca, s.c.",I-Far,,,,"12th century",Firenze,,,,,,,"http://cantus.uwaterloo.ca/source/123607",Secular,,,
"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560","I-Fl Conv. sopp. 560",,,,"12th century",Vallombrosa,,,,,,,"http://cantus.uwaterloo.ca/source/123608",Monastic,,,
"Mainz, Bischöfliches Dom- und Diözesanmuseum, D","D-MZb D",,,,"15th century (1425-1450)",Mainz,,,,,,,"http://cantus.uwaterloo.ca/source/123623",Secular,,,
"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1","D-Ma 12o Cmm 1",,,,"13th century (1225-1250)",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/123673",Secular,,,
"München, Bayerische Staatsbibliothek, Clm 4305","D-Mbs Clm 4305",,,,"15th century (1450-1475)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123683",Monastic,,,
"München, Bayerische Staatsbibliothek, Clm 4306","D-Mbs Clm 4306",,,,"16th century (1500-1525)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123684",Monastic,,,
"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)","D-W 28 Helmst.",,,,"16th century (1500-1525)",Hilwartshausen,,,,,,,"http://cantus.uwaterloo.ca/source/123716",Secular,,,
"Salamanca, Catedral - Archivo Musical, 7","E-SA 7",,,,"14th century",Salamanca,,,,,,,"http://cantus.uwaterloo.ca/source/123651",Secular,,,
"Toledo, Catedral - Archivo y Biblioteca Capítulares, 44.1","E-Tc 44.1",,,,"11th century (1000-1025)",Tavèrnoles,,,,,,,"http://cantus.uwaterloo.ca/source/123638",Secular,,,
"Toledo, Catedral - Archivo y Biblioteca Capítulares, 44.2","E-Tc 44.2",,,,"11th century (1075-1100)",Toledo,,,,,,,"http://cantus.uwaterloo.ca/source/123639",Secular,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090","F-Pn Lat. 1090",,,,"12th century (1175-1200)",Marseille,,,,,,,"http://cantus.uwaterloo.ca/source/123627",Secular,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12601","F-Pn Lat. 12601",,,,"11th century (1075-1100)","St. Taurin",,,,,,,"http://cantus.uwaterloo.ca/source/123630",Monastic,,,
"Valenciennes, Bibliothèque municipale, 114","F-VAL 114",,,,"12th century","St-Amand Abbey",,,,,,,"http://cantus.uwaterloo.ca/source/123642",Monastic,,,
"Aberystwyth, Llyfrgell Genedlaethol Cymru (National Library of Wales), 20541 E","GB-AB 20541 E",,,,"14th century (1300-1325)",Wales,,,,,,,"http://cantus.uwaterloo.ca/source/123592",Secular,,,
"Cambridge, University Library, Mm.ii.9","GB-Cu Mm.ii.9",,,,"13th century",Barnwell,,,,,,,"http://cantus.uwaterloo.ca/source/123603",Secular,,,
"Worcester, Cathedral - Music Library, F.160 (olim 1247) (with hymnal)","GB-WO F.160",,,,"13th century (1225-1250)",Worcester,,,,,,,"http://cantus.uwaterloo.ca/source/123647",Monastic,,,
"Worcester, Cathedral - Music Library, F.160 (olim 1247) (facsimile)","GB-WO F.160 (Facs)",,,,"13th century (1225-1250)",Worcester,,,,,,,"http://cantus.uwaterloo.ca/source/123646",Monastic,,,
"Budapest, Egyetemi Könyvtár (University Library), lat. 121","H-Bu lat. 121",,,,"14th century",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/123599",Secular,,,
"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. E Nr. 3","HR-Hf Cod. E",,,,"15th century (2nd half)",Venice,,,,,,,"http://cantus.uwaterloo.ca/source/123721",Secular,,,
"Assisi, Biblioteca comunale, 693","I-Ac 693",,,,"13th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/123670",Secular,,,
"Assisi, Biblioteca comunale, 694","I-Ac 694",,,,"13th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/123669",Secular,,,
"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5","I-Ad 5",,,,"13th century (1225-1250)",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/123675",Secular,,,
"Napoli, Biblioteca nazionale Vittorio Emanuele III, vi. E. 20","I-Nn vi.E.20",,,,"13th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/123674",Secular,,,
"Roma, Biblioteca Vallicelliana, C.5","I-Rv C.5",,,,"11th century","Rome (Roma)",,,,,,,"http://cantus.uwaterloo.ca/source/123635",Monastic,,,
"Utrecht, Universiteitsbibliotheek, Ms. 406 (shelfmark 3 J 7)","NL-Uu 406 (3 J 7)",,,,"12th century",Utrecht,,,,,,,"http://cantus.uwaterloo.ca/source/123641",Secular,,,
"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6","NL-ZUa 6",,,,"15th century",Zutphen,,,,,,,"http://cantus.uwaterloo.ca/source/123648",,,,
"Wellington (New Zealand), The Alexander Turnbull Library - Rare Books, MSR-03","NZ-Wt MSR-03",,,,"15th century (2nd half)",Amersfoort,,,,,,,"http://cantus.uwaterloo.ca/source/599679",Secular,,,
"Franciscan antiphoner, John J. Burns Library, Boston College MS.1996.097","US-CHNbcbl 097",,,,"14th century (1st half)",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/656252",,,,
"Chicago, Newberry Library, 24","US-Cn 24",,,,"13th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/123671",Secular,,,
"Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, San Pietro B.79","V-CVbav B.79",,,,"12th century","Rome (Roma)",,,,,,,"http://cantus.uwaterloo.ca/source/123661",Secular,,,
"P-BRs (Braga) Arquivo da Sé Ms. 028","P-BRs Ms. 028",,,,"16th century (first quarter)","Braga, Catedral",,,,,,,"http://pemdatabase.eu/source/48438",Secular,,,
"PL-PŁsem MsEPl 15 Antyfonarz z Płocka, pars de sanctis","MsEPl 15",,,,"15th century",Płock,,,,,,,"http://cantus.ispan.pl/source/14458",,,,
"PL-STAb 4 Antiphonarium","ms. 4",,,,"16th century",Staniątki,,,,,,,"http://cantus.ispan.pl/source/22280",,,,
"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)","A-Gu 30",,,,"14th century",St-Lambrecht,,,,,,,"http://cantus.uwaterloo.ca/source/123611",Monastic,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1012","A-KN 1012",,,,"12th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123613",Secular,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1018","A-KN 1018",,,,"14th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123616",Secular,,,
"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 589","A-KN 589",,,,"14th century",Klosterneuburg,,,,,,,"http://cantus.uwaterloo.ca/source/123656",Secular,,,
"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258","A-KR VI/258",,,,"13th century (2nd half)","St. Pölten",,,,,,,"http://cantus.uwaterloo.ca/source/123660",Secular,,,
"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; Gamma p.19)","A-LIs 290",,,,"12th century",Kremsmünster,,,,,,,"http://cantus.uwaterloo.ca/source/123617",Monastic,,,
"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480","A-SF XI 480",,,,"14th century",St-Florian,,,,,,,"http://cantus.uwaterloo.ca/source/123658",Secular,,,
"Vorau, Stiftsbibliothek, 287 (olim XXIX)","A-VOR 287",,,,"14th century",Vorau,,,,,,,"http://cantus.uwaterloo.ca/source/123643",Secular,,,
"Wien, Österreichische Nationalbibliothek - Handschriftensammlung, 1799**","A-Wn 1799**",,,,"13th century",Rein,,,,,,,"http://cantus.uwaterloo.ca/source/123667",Monastic,,,
"Wien, Österreichische Nationalbibliothek - Musiksammlung, 1890","A-Wn 1890",,,,"12th century","Southern Germany / Austria",,,,,,,"http://cantus.uwaterloo.ca/source/123713",Monastic,,,
"Gent, Universiteitsbibliotheek, Hs BKT.006 ("Tsgrooten Antiphoner")","B-Gu Hs BKT.006",,,,"16th century (1500-1525)",Tongerloo,,,,,,,"http://cantus.uwaterloo.ca/source/702611",Secular,,,
"Aachen (Aix-la-Chapelle), Domarchiv, G 20","D-AAm G 20",,,,"13th century (2nd half)",Aachen,,,,,,,"http://cantus.uwaterloo.ca/source/123714",Secular,,,
